Year,Positive,Negative,Neutral
'2006',1,0,0
'2007',13,5,1
'2008',91,25,19
'2009',201,82,52
'2010',795,290,205
'2011',934,326,253
'2012',861,281,183
'2013',680,235,181
'2015',723,262,167
