Year,Positive,Negative,Neutral
'2006',1,1,0
'2007',56,24,15
'2008',228,81,62
'2009',515,184,144
'2010',1912,747,601
'2011',2466,918,748
'2012',2033,766,619
'2013',1884,695,510
'2015',2000,800,566
